id,date,amount,remark,category,expense_type
1,01-07-2021,15000,50100033799382-TPT-KABINI BOOKING 2-PRANAV MATHUR,OUTING,MINOR
2,01-07-2021,1500,UPI-PRANAV MATHUR-PRANAVMATHUR05@OKHDFCBANK-HDFC0000514-118244116375-KABINI BOOKING 1,OUTING,MINOR
3,01-08-2021,298,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
4,01-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-121397632873-SNACKS,FOOD,MINOR
5,01-08-2021,60,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-121397430677-VERIFIED MERCHANT,FOOD,MINOR
6,02-07-2021,4548,POS 435584XXXXXX0258 MYNTRA DESIGNS P,SHOPPING,MINOR
7,02-07-2021,330,102107043953114/CITRUSZOMATOCOM,FOOD,MINOR
8,02-07-2021,294,20210702179618671804/PAYTMSWIGGYCOM,FOOD,MINOR
9,02-07-2021,89,20210702179637026033/PAYTMSWIGGYCOM,FOOD,MINOR
10,02-08-2021,3669.13,UPI-PRANAV MATHUR-PRANAVMATHUR05@OKHDFCBANK-HDFC0000514-121403645835-UPI,OUTING,MINOR
11,02-08-2021,2280,KQRHU54JAF42FOG2DY/PAYUMOBITECHCREATION,NECESSARY,MINOR
12,02-08-2021,149,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
13,03-07-2021,774,110203249952/CCANOVAPLAYIN,ENTERTAINMENT,MINOR
14,04-07-2021,899,POS 435584XXXXXX0258 FACEBK *PAID ONL,OTHER,MINOR
15,04-07-2021,823.6,KQRHS4UIAVZKPO62DY/PAYUBOOKMYSHOW,NECESSARY,MINOR
16,04-07-2021,74.89,POS 435584XXXXXX0258 FACEBK *PAYMENT,OTHER,MINOR
17,04-07-2021,60,UPI-OHHH MOMOS-PAYTMQR2810050501011773FVHB6A99@PAYTM-PYTM0123456-118583404575-MOMOS,FOOD,MINOR
18,04-07-2021,5,UPI-OHHH MOMOS-PAYTMQR2810050501011773FVHB6A99@PAYTM-PYTM0123456-118583413591-MOMOS 2,FOOD,MINOR
19,04-07-2021,-74.89,POS 435584XXXXXX0258 FACEBK *PAYMENT,OTHER,MINOR
20,04-08-2021,614,HH16SK2OCK38MO/RAZPSWIGGY,FOOD,MINOR
21,04-08-2021,240,HH4RMAAELUAZM5/RAZPSWIGGY,FOOD,MINOR
22,05-07-2021,2737,POS 435584XXXXXX0258 SECRET OF BANGA,OUTING,MINOR
23,06-07-2021,714.12,POS 435584XXXXXX0258 MYNTRA DESIGN PV,SHOPPING,MINOR
24,06-08-2021,150,HHQF7J9PJ10SVX/RAZPSWIGGY,NECESSARY,MINOR
25,07-07-2021,551.57,HVZFSCWQYNQNK5/RAZPHYPERPUREZOMATO,FOOD,MINOR
26,07-07-2021,400,UPI-PRIYA DARSHINI S-Q16620110@YBL-KKBK0000432-118812728524-PROJECT BINDING,NECESSARY,MINOR
27,07-07-2021,258,KQRHS4MFAZZ27OWWCQ/PAYUSWIGGYIN,FOOD,MINOR
28,07-07-2021,50,UPI-SRILAKSHMI-Q04019028@YBL-YESB0YBLUPI-118812674368-BIRTHDAY CARD,NECESSARY,MINOR
29,07-07-2021,48,UPI-EURONETGPAY-EURONETGPAY.PAY@ICICI-ICIC0000001-118815851295-UPI,OTHER,MINOR
30,07-07-2021,48,UPI-GOUTHAMI T S-PAYTMQR2810050501011MKC19ZUD7I3@PAYTM-PYTM0123456-118816106456-LUNCH,OTHER,MINOR
31,07-08-2021,312,HI8PMQQUQFGYFN/RAZPSWIGGY,NECESSARY,MINOR
32,07-08-2021,120,UPI-SRINIVAS K M-Q55358598@YBL-YESB0YBLUPI-121970562235-SNACS,FOOD,MINOR
33,07-08-2021,85,UPI-THEBRIGADEHYPERMART-BHARATPE90718805114@YESBANKLTD-YESB0000105-121970471165-VERIFIED MERCHANT,SHOPPING,MINOR
34,07-08-2021,30,UPI-OPUS SUPER MARKET-BHARATPE90719027254@YESBANKLTD-YESB0000105-121970655040-UPI,FOOD,MINOR
35,08-07-2021,699,"POS 435584XXXXXX0258 BIG BAZAAR ,",SHOPPING,MINOR
36,08-07-2021,653,HWSHRWGR2CWERY/RAZPSWIGGY,FOOD,MINOR
37,08-07-2021,500,ATW-435584XXXXXX0258-CHBLR025-BANGALORE,NECESSARY,MINOR
38,08-07-2021,490,UPI-VEERAPPA BOOKS STALL-PAYTMQR281005050101AMTPJILJQM21@PAYTM-PYTM0123456-118926507063-UPI,ENTERTAINMENT,MINOR
39,08-07-2021,135,HWSRSXTQKMZAWA/RAZPSWIGGY,FOOD,MINOR
40,08-07-2021,50,UPI-NEW TIME MART-9535775576-1@OKBIZAXIS-UTIB0000000-118926444021-WATCH REPAIR,NECESSARY,MINOR
41,08-07-2021,48,UPI-BILLDESKTEZ-BILLDESK.PREPAID-MOBILE@ICICI-ICIC0000555-118927848634-UPI,NECESSARY,MINOR
42,08-08-2021,2000,UPI-SWAMINATHAN NARASIMH-NARASIMHANSWAMINATHAN@OKICICI-ICIC0000001-122082644528-DRAGON BOAT REGIST,NECESSARY,MINOR
43,08-08-2021,1000,UPI-TR ENTERPRISES HRBR -PAYTM-5960@PAYTM-PYTM0123456-122022854748-OID202108081302590,NECESSARY,MINOR
44,08-08-2021,487,UPI-HARIPRASAD N-7353563733@YBL-SBIN0040103-122087309822-UBER CAB,TRAVEL,MINOR
45,09-07-2021,227.89,POS 435584XXXXXX0258 DOMINOS PIZZA,FOOD,MINOR
46,09-08-2021,1000,RFX 090821NBT00276 COMMISSION,NECESSARY,MINOR
47,09-08-2021,90,090821NBT00276 DPO2222130457355 CGST COM,NECESSARY,MINOR
48,09-08-2021,90,090821NBT00276 DPO2222130457355 SGST COM,NECESSARY,MINOR
49,09-08-2021,39.19,090821NBT00276 DPO2222130457356 CGST,NECESSARY,MINOR
50,09-08-2021,39.19,090821NBT00276 DPO2222130457356 SGST,NECESSARY,MINOR
51,10-07-2021,906,HX90SLGPGVWBYE/RAZPSWIGGY,FOOD,MINOR
52,10-07-2021,495,POS 435584XXXXXX0258 OPUS SUPER MARKE,NECESSARY,MINOR
53,10-07-2021,380,POS 435584XXXXXX0258 AMAZON,SHOPPING,MINOR
